                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.80696,                0.52454,                 1.1515,                0.99935,                      1,                  0.995,                0.84478,                0.64815,                0.33708,                0.97904,               0.006766,               0.006766,               0.006766
                    100,                 0.8141,                 0.5121,                 1.1456,                0.99707,                0.97778,                0.99415,                0.85559,                0.61855,                0.35807,                0.98633,               0.006733,               0.006733,               0.006733
                    101,                0.78629,                0.47861,                 1.1618,                0.99734,                      1,                  0.995,                 0.8314,                0.65393,                0.32545,                 1.0018,                 0.0067,                 0.0067,                 0.0067
                    102,                0.84553,                 0.5305,                 1.1471,                0.99917,                      1,                  0.995,                0.84364,                0.68282,                 0.3472,                0.98767,               0.006667,               0.006667,               0.006667
                    103,                0.83699,                0.52325,                 1.1507,                0.97616,                      1,                0.99174,                0.79966,                0.74749,                0.40628,                 1.0329,               0.006634,               0.006634,               0.006634
                    104,                0.82809,                0.51492,                 1.1694,                0.99813,                      1,                  0.995,                0.81626,                0.63882,                 0.3774,                0.98396,               0.006601,               0.006601,               0.006601
                    105,                0.79814,                0.51605,                 1.1411,                0.99572,                0.97778,                0.99415,                0.81957,                0.68342,                0.37375,                 1.0059,               0.006568,               0.006568,               0.006568
                    106,                 0.8148,                0.50249,                 1.1681,                0.93444,                0.97778,                0.98809,                0.80017,                0.73656,                0.46856,                 1.0116,               0.006535,               0.006535,               0.006535
                    107,                0.79433,                0.50702,                 1.1379,                0.99628,                0.97778,                0.99415,                0.82841,                0.70935,                 0.3864,                 1.0254,               0.006502,               0.006502,               0.006502
                    108,                0.83107,                0.52234,                 1.1626,                0.97245,                0.97778,                0.99331,                0.77239,                0.84958,                 0.4307,                 1.0526,               0.006469,               0.006469,               0.006469
                    109,                0.80655,                0.49613,                 1.1345,                0.97736,                      1,                0.99457,                0.82956,                  0.635,                0.36278,                0.97266,               0.006436,               0.006436,               0.006436
                    110,                0.81699,                0.51236,                 1.1629,                      1,                0.99959,                  0.995,                0.86275,                0.61401,                0.34188,                0.97043,               0.006403,               0.006403,               0.006403
                    111,                0.79303,                 0.4777,                 1.1337,                0.99779,                      1,                  0.995,                0.85891,                0.58449,                0.32524,                0.96724,                0.00637,                0.00637,                0.00637
                    112,                0.77607,                0.49191,                 1.1091,                0.99866,                      1,                  0.995,                 0.8588,                 0.6367,                0.35819,                0.95954,               0.006337,               0.006337,               0.006337
                    113,                0.74926,                0.47289,                 1.1061,                      1,                0.99974,                  0.995,                0.86068,                0.64697,                0.33536,                0.98594,               0.006304,               0.006304,               0.006304
                    114,                  0.788,                0.49059,                 1.1353,                      1,                0.99974,                  0.995,                 0.8508,                0.69186,                0.34173,                 1.0102,               0.006271,               0.006271,               0.006271
                    115,                 0.7621,                0.46554,                 1.1332,                      1,                0.99918,                  0.995,                0.85162,                0.63082,                0.33681,                0.95568,               0.006238,               0.006238,               0.006238
                    116,                0.77212,                0.48646,                 1.1215,                0.99907,                      1,                  0.995,                0.87399,                0.60552,                0.31664,                0.96457,               0.006205,               0.006205,               0.006205
